field,pressure_id,contract_number,build_id,build_label,samples,wins,win_rate,avg_dps,avg_required_dps,avg_required_dps_gap,avg_damage_gap,avg_blocked_damage,avg_absorbed_damage,avg_crit_negated_damage,avg_dodges,avg_cleanses,avg_interrupts,avg_stun_seconds
mechanic_ids,absorb,30,assassin,Assassin,24,0,0.0,21.547,47108.4398,-47086.8928,-1025842.0833,0.0,376.2917,0.0,0.0,0.0,0.0,0.0
mechanic_ids,absorb,30,shadow,Shadow,24,0,0.0,33.3511,47108.4398,-47075.0887,-1025304.2917,0.0,198.0063,0.0,0.0,0.0,0.0,0.0
mechanic_ids,absorb,30,blade_dancer,Blade Dancer,24,0,0.0,39.0523,47108.4398,-47069.3875,-1025058.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mechanic_ids,absorb,30,thief,Thief,24,0,0.0,39.4963,47108.4398,-47068.9435,-1025050.4167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mechanic_ids,block,30,thief,Thief,20,0,0.0,9.2274,46757.2128,-46747.9855,-640485.15,422.9518,0.0,181.1345,0.0,0.0,0.0,0.0
mechanic_ids,armor,30,thief,Thief,20,0,0.0,9.2274,46757.2128,-46747.9855,-640485.15,422.9518,0.0,181.1345,0.0,0.0,0.0,0.0
mechanic_ids,crit_negation,30,thief,Thief,20,0,0.0,9.2274,46757.2128,-46747.9855,-640485.15,422.9518,0.0,181.1345,0.0,0.0,0.0,0.0
mechanic_ids,block,30,blade_dancer,Blade Dancer,20,0,0.0,16.0532,46757.2128,-46741.1597,-640188.65,623.6269,0.0,256.2917,0.0,0.0,0.0,0.0
mechanic_ids,armor,30,blade_dancer,Blade Dancer,20,0,0.0,16.0532,46757.2128,-46741.1597,-640188.65,623.6269,0.0,256.2917,0.0,0.0,0.0,0.0
mechanic_ids,crit_negation,30,blade_dancer,Blade Dancer,20,0,0.0,16.0532,46757.2128,-46741.1597,-640188.65,623.6269,0.0,256.2917,0.0,0.0,0.0,0.0
mechanic_ids,block,30,shadow,Shadow,20,0,0.0,17.7373,46757.2128,-46739.4756,-640123.9,362.8623,0.0,157.6094,0.0,0.0,0.0,0.0
mechanic_ids,armor,30,shadow,Shadow,20,0,0.0,17.7373,46757.2128,-46739.4756,-640123.9,362.8623,0.0,157.6094,0.0,0.0,0.0,0.0
mechanic_ids,crit_negation,30,shadow,Shadow,20,0,0.0,17.7373,46757.2128,-46739.4756,-640123.9,362.8623,0.0,157.6094,0.0,0.0,0.0,0.0
mechanic_ids,block,30,assassin,Assassin,20,0,0.0,39.3923,46757.2128,-46717.8206,-639210.05,228.0496,0.0,109.2772,0.0,0.0,0.0,0.0
mechanic_ids,armor,30,assassin,Assassin,20,0,0.0,39.3923,46757.2128,-46717.8206,-639210.05,228.0496,0.0,109.2772,0.0,0.0,0.0,0.0
mechanic_ids,crit_negation,30,assassin,Assassin,20,0,0.0,39.3923,46757.2128,-46717.8206,-639210.05,228.0496,0.0,109.2772,0.0,0.0,0.0,0.0
mechanic_ids,suppress,30,assassin,Assassin,39,0,0.0,22.3846,44835.7278,-44813.3432,-982297.0513,0.0,231.5641,0.0,0.0,2.1795,0.0,0.0
mechanic_ids,poison_resistance,30,assassin,Assassin,39,0,0.0,22.3846,44835.7278,-44813.3432,-982297.0513,0.0,231.5641,0.0,0.0,2.1795,0.0,0.0
mechanic_ids,suppress,30,shadow,Shadow,39,0,0.0,30.5258,44835.7278,-44805.2021,-981928.1026,0.0,121.85,0.0,0.0,2.7949,0.0,0.0
mechanic_ids,poison_resistance,30,shadow,Shadow,39,0,0.0,30.5258,44835.7278,-44805.2021,-981928.1026,0.0,121.85,0.0,0.0,2.7949,0.0,0.0
mechanic_ids,suppress,30,blade_dancer,Blade Dancer,39,0,0.0,32.5157,44835.7278,-44803.2121,-981848.3077,0.0,0.0,0.0,0.0,4.8974,0.0,0.0
mechanic_ids,poison_resistance,30,blade_dancer,Blade Dancer,39,0,0.0,32.5157,44835.7278,-44803.2121,-981848.3077,0.0,0.0,0.0,0.0,4.8974,0.0,0.0
mechanic_ids,suppress,30,thief,Thief,39,0,0.0,36.6366,44835.7278,-44799.0912,-981660.5641,0.0,0.0,0.0,0.0,3.3333,0.0,0.0
mechanic_ids,poison_resistance,30,thief,Thief,39,0,0.0,36.6366,44835.7278,-44799.0912,-981660.5641,0.0,0.0,0.0,0.0,3.3333,0.0,0.0
mechanic_ids,interrupt_skip_count,30,thief,Thief,21,0,0.0,10.3958,42061.1361,-42050.7403,-955211.6667,0.0,0.0,0.0,0.0,2.8095,14.619,0.0
mechanic_ids,stun_duration_ms,30,thief,Thief,21,0,0.0,10.3958,42061.1361,-42050.7403,-955211.6667,0.0,0.0,0.0,0.0,2.8095,14.619,0.0
mechanic_ids,stun_duration_ms,30,blade_dancer,Blade Dancer,21,0,0.0,17.8837,42061.1361,-42043.2525,-954881.8095,0.0,0.0,0.0,0.0,11.0476,0.0,0.0
mechanic_ids,interrupt_skip_count,30,blade_dancer,Blade Dancer,21,0,0.0,17.8837,42061.1361,-42043.2525,-954881.8095,0.0,0.0,0.0,0.0,11.0476,0.0,0.0
mechanic_ids,stun_duration_ms,30,assassin,Assassin,21,0,0.0,21.8735,42061.1361,-42039.2626,-954718.7143,0.0,0.0,0.0,0.0,2.9524,6.2857,0.0
mechanic_ids,interrupt_skip_count,30,assassin,Assassin,21,0,0.0,21.8735,42061.1361,-42039.2626,-954718.7143,0.0,0.0,0.0,0.0,2.9524,6.2857,0.0
mechanic_ids,interrupt_skip_count,30,shadow,Shadow,21,0,0.0,24.0739,42061.1361,-42037.0622,-954609.9048,0.0,0.0,0.0,0.0,6.2381,0.0,0.0
mechanic_ids,stun_duration_ms,30,shadow,Shadow,21,0,0.0,24.0739,42061.1361,-42037.0622,-954609.9048,0.0,0.0,0.0,0.0,6.2381,0.0,0.0
mechanic_ids,cleanse_threshold,30,thief,Thief,36,0,0.0,19.4231,41702.0747,-41682.6516,-937305.4722,0.0,0.0,0.0,0.0,5.25,8.5278,0.0
mechanic_ids,slow,30,thief,Thief,36,0,0.0,19.4231,41702.0747,-41682.6516,-937305.4722,0.0,0.0,0.0,0.0,5.25,8.5278,0.0
mechanic_ids,slow,30,blade_dancer,Blade Dancer,36,0,0.0,19.6226,41702.0747,-41682.4521,-937310.9444,0.0,0.0,0.0,0.0,11.75,0.0,0.0
mechanic_ids,cleanse_threshold,30,blade_dancer,Blade Dancer,36,0,0.0,19.6226,41702.0747,-41682.4521,-937310.9444,0.0,0.0,0.0,0.0,11.75,0.0,0.0
mechanic_ids,cleanse_threshold,30,assassin,Assassin,36,0,0.0,22.6449,41702.0747,-41679.4298,-937179.6667,0.0,0.0,0.0,0.0,4.0833,3.6667,0.0
mechanic_ids,slow,30,assassin,Assassin,36,0,0.0,22.6449,41702.0747,-41679.4298,-937179.6667,0.0,0.0,0.0,0.0,4.0833,3.6667,0.0
mechanic_ids,slow,30,shadow,Shadow,36,0,0.0,24.8786,41702.0747,-41677.1961,-937075.0278,0.0,0.0,0.0,0.0,6.6667,0.0,0.0
mechanic_ids,cleanse_threshold,30,shadow,Shadow,36,0,0.0,24.8786,41702.0747,-41677.1961,-937075.0278,0.0,0.0,0.0,0.0,6.6667,0.0,0.0
mechanic_ids,absorb,29,assassin,Assassin,15,0,0.0,20.8947,40931.2791,-40910.3844,-878225.8667,0.0,376.3936,0.0,0.0,0.0,0.0,0.0
mechanic_ids,absorb,29,shadow,Shadow,15,0,0.0,31.8785,40931.2791,-40899.4006,-877732.5333,0.0,189.6787,0.0,0.0,0.0,0.0,0.0
mechanic_ids,absorb,29,blade_dancer,Blade Dancer,15,0,0.0,38.1196,40931.2791,-40893.1595,-877464.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mechanic_ids,absorb,29,thief,Thief,15,0,0.0,39.8598,40931.2791,-40891.4192,-877394.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mechanic_ids,crit_negation,29,thief,Thief,24,0,0.0,9.4259,40403.2004,-40393.7745,-571971.6667,436.0472,0.0,152.3472,0.0,0.0,0.0,0.0
mechanic_ids,armor,29,thief,Thief,24,0,0.0,9.4259,40403.2004,-40393.7745,-571971.6667,436.0472,0.0,152.3472,0.0,0.0,0.0,0.0
mechanic_ids,block,29,thief,Thief,24,0,0.0,9.4259,40403.2004,-40393.7745,-571971.6667,436.0472,0.0,152.3472,0.0,0.0,0.0,0.0
mechanic_ids,block,29,blade_dancer,Blade Dancer,24,0,0.0,15.8104,40403.2004,-40387.39,-571679.2917,639.3029,0.0,225.5397,0.0,0.0,0.0,0.0
mechanic_ids,armor,29,blade_dancer,Blade Dancer,24,0,0.0,15.8104,40403.2004,-40387.39,-571679.2917,639.3029,0.0,225.5397,0.0,0.0,0.0,0.0
mechanic_ids,crit_negation,29,blade_dancer,Blade Dancer,24,0,0.0,15.8104,40403.2004,-40387.39,-571679.2917,639.3029,0.0,225.5397,0.0,0.0,0.0,0.0
mechanic_ids,block,29,shadow,Shadow,24,0,0.0,17.7818,40403.2004,-40385.4186,-571604.2083,371.7146,0.0,147.1237,0.0,0.0,0.0,0.0
mechanic_ids,armor,29,shadow,Shadow,24,0,0.0,17.7818,40403.2004,-40385.4186,-571604.2083,371.7146,0.0,147.1237,0.0,0.0,0.0,0.0
mechanic_ids,crit_negation,29,shadow,Shadow,24,0,0.0,17.7818,40403.2004,-40385.4186,-571604.2083,371.7146,0.0,147.1237,0.0,0.0,0.0,0.0
mechanic_ids,block,29,assassin,Assassin,24,0,0.0,39.3645,40403.2004,-40363.8359,-570667.5833,232.1442,0.0,109.197,0.0,0.0,0.0,0.0
mechanic_ids,armor,29,assassin,Assassin,24,0,0.0,39.3645,40403.2004,-40363.8359,-570667.5833,232.1442,0.0,109.197,0.0,0.0,0.0,0.0
mechanic_ids,crit_negation,29,assassin,Assassin,24,0,0.0,39.3645,40403.2004,-40363.8359,-570667.5833,232.1442,0.0,109.197,0.0,0.0,0.0,0.0
mechanic_ids,poison_resistance,29,assassin,Assassin,39,0,0.0,21.9215,37734.584,-37712.6626,-779272.641,0.0,144.7668,0.0,0.0,3.4103,0.0,0.0
mechanic_ids,suppress,29,assassin,Assassin,39,0,0.0,21.9215,37734.584,-37712.6626,-779272.641,0.0,144.7668,0.0,0.0,3.4103,0.0,0.0
mechanic_ids,poison_resistance,29,shadow,Shadow,39,0,0.0,28.0449,37734.584,-37706.5391,-779006.7692,0.0,72.9533,0.0,0.0,4.4359,0.0,0.0
mechanic_ids,suppress,29,shadow,Shadow,39,0,0.0,28.0449,37734.584,-37706.5391,-779006.7692,0.0,72.9533,0.0,0.0,4.4359,0.0,0.0
mechanic_ids,suppress,29,blade_dancer,Blade Dancer,39,0,0.0,28.3916,37734.584,-37706.1924,-778987.4615,0.0,0.0,0.0,0.0,7.6154,0.0,0.0
mechanic_ids,poison_resistance,29,blade_dancer,Blade Dancer,39,0,0.0,28.3916,37734.584,-37706.1924,-778987.4615,0.0,0.0,0.0,0.0,7.6154,0.0,0.0
mechanic_ids,suppress,29,thief,Thief,39,0,0.0,35.3705,37734.584,-37699.2136,-778703.0256,0.0,0.0,0.0,0.0,5.0,0.0,0.0
mechanic_ids,poison_resistance,29,thief,Thief,39,0,0.0,35.3705,37734.584,-37699.2136,-778703.0256,0.0,0.0,0.0,0.0,5.0,0.0,0.0
mechanic_ids,interrupt_skip_count,29,thief,Thief,17,0,0.0,10.2155,35792.4127,-35782.1972,-845621.1176,0.0,0.0,0.0,0.0,2.6471,16.2353,0.0
mechanic_ids,stun_duration_ms,29,thief,Thief,17,0,0.0,10.2155,35792.4127,-35782.1972,-845621.1176,0.0,0.0,0.0,0.0,2.6471,16.2353,0.0
mechanic_ids,stun_duration_ms,29,blade_dancer,Blade Dancer,17,0,0.0,18.7359,35792.4127,-35773.6768,-845231.4118,0.0,0.0,0.0,0.0,11.4706,0.0,0.0
mechanic_ids,interrupt_skip_count,29,blade_dancer,Blade Dancer,17,0,0.0,18.7359,35792.4127,-35773.6768,-845231.4118,0.0,0.0,0.0,0.0,11.4706,0.0,0.0
mechanic_ids,interrupt_skip_count,29,assassin,Assassin,17,0,0.0,23.4213,35792.4127,-35768.9914,-845040.7647,0.0,0.0,0.0,0.0,2.8824,7.2353,0.0
mechanic_ids,stun_duration_ms,29,assassin,Assassin,17,0,0.0,23.4213,35792.4127,-35768.9914,-845040.7647,0.0,0.0,0.0,0.0,2.8824,7.2353,0.0
mechanic_ids,interrupt_skip_count,29,shadow,Shadow,17,0,0.0,24.9043,35792.4127,-35767.5084,-844947.9412,0.0,0.0,0.0,0.0,6.4706,0.0,0.0
mechanic_ids,stun_duration_ms,29,shadow,Shadow,17,0,0.0,24.9043,35792.4127,-35767.5084,-844947.9412,0.0,0.0,0.0,0.0,6.4706,0.0,0.0
mechanic_ids,cleanse_threshold,29,blade_dancer,Blade Dancer,41,0,0.0,20.829,35759.7709,-35738.9419,-770426.3415,0.0,0.0,0.0,0.0,12.0,0.0,0.0
mechanic_ids,slow,29,blade_dancer,Blade Dancer,41,0,0.0,20.829,35759.7709,-35738.9419,-770426.3415,0.0,0.0,0.0,0.0,12.0,0.0,0.0
mechanic_ids,slow,29,assassin,Assassin,41,0,0.0,22.919,35759.7709,-35736.8519,-770339.9512,0.0,0.0,0.0,0.0,4.439,3.0,0.0
mechanic_ids,cleanse_threshold,29,assassin,Assassin,41,0,0.0,22.919,35759.7709,-35736.8519,-770339.9512,0.0,0.0,0.0,0.0,4.439,3.0,0.0
mechanic_ids,cleanse_threshold,29,thief,Thief,41,0,0.0,23.2979,35759.7709,-35736.473,-770342.9756,0.0,0.0,0.0,0.0,5.8537,6.7317,0.0
mechanic_ids,slow,29,thief,Thief,41,0,0.0,23.2979,35759.7709,-35736.473,-770342.9756,0.0,0.0,0.0,0.0,5.8537,6.7317,0.0
mechanic_ids,cleanse_threshold,29,shadow,Shadow,41,0,0.0,25.3402,35759.7709,-35734.4307,-770229.0488,0.0,0.0,0.0,0.0,6.9024,0.0,0.0
mechanic_ids,slow,29,shadow,Shadow,41,0,0.0,25.3402,35759.7709,-35734.4307,-770229.0488,0.0,0.0,0.0,0.0,6.9024,0.0,0.0
mechanic_ids,absorb,28,assassin,Assassin,17,0,0.0,21.2512,35315.7243,-35294.4731,-805012.4118,0.0,409.4706,0.0,0.0,0.0,0.0,0.0
mechanic_ids,absorb,28,shadow,Shadow,17,0,0.0,32.9575,35315.7243,-35282.7667,-804456.8235,0.0,209.4606,0.0,0.0,0.0,0.0,0.0
mechanic_ids,absorb,28,blade_dancer,Blade Dancer,17,0,0.0,38.5484,35315.7243,-35277.1759,-804189.8235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mechanic_ids,absorb,28,thief,Thief,17,0,0.0,39.1837,35315.7243,-35276.5405,-804171.5882,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mechanic_ids,block,28,thief,Thief,22,0,0.0,9.366,35064.5194,-35055.1534,-471287.6818,404.139,0.0,163.0931,0.0,0.0,0.0,0.0
mechanic_ids,armor,28,thief,Thief,22,0,0.0,9.366,35064.5194,-35055.1534,-471287.6818,404.139,0.0,163.0931,0.0,0.0,0.0,0.0
mechanic_ids,crit_negation,28,thief,Thief,22,0,0.0,9.366,35064.5194,-35055.1534,-471287.6818,404.139,0.0,163.0931,0.0,0.0,0.0,0.0
mechanic_ids,block,28,blade_dancer,Blade Dancer,22,0,0.0,15.8997,35064.5194,-35048.6197,-471007.8182,589.7386,0.0,236.718,0.0,0.0,0.0,0.0
mechanic_ids,armor,28,blade_dancer,Blade Dancer,22,0,0.0,15.8997,35064.5194,-35048.6197,-471007.8182,589.7386,0.0,236.718,0.0,0.0,0.0,0.0
mechanic_ids,crit_negation,28,blade_dancer,Blade Dancer,22,0,0.0,15.8997,35064.5194,-35048.6197,-471007.8182,589.7386,0.0,236.718,0.0,0.0,0.0,0.0
mechanic_ids,crit_negation,28,shadow,Shadow,22,0,0.0,17.7821,35064.5194,-35046.7373,-470940.5909,341.7172,0.0,200.9886,0.0,0.0,0.0,0.0
mechanic_ids,armor,28,shadow,Shadow,22,0,0.0,17.7821,35064.5194,-35046.7373,-470940.5909,341.7172,0.0,200.9886,0.0,0.0,0.0,0.0
